Id,DeltaTime[ns],0:UART: RX/TX
506,47250.00,FF
507,9950.00,FF
508,9900.00,07
509,9950.00,13
510,9900.00,00
511,9950.00,A5
512,9950.00,08
513,9900.00,00
514,9950.00,00
515,9900.00,00
516,9950.00,00
517,9950.00,7A
518,9900.00,1F
519,9950.00,00
520,9950.00,00
521,9900.00,00
522,9950.00,A5
523,9950.00,08
524,9900.00,00
525,9950.00,00
526,9900.00,00
527,9950.00,00
528,9950.00,F2
529,49801800.00,FF
530,11000.00,FF
531,10950.00,07
532,10950.00,04
533,11000.00,02
534,10950.00,38
535,120600.00,11
536,127600.00,A9
537,44050.00,FF
538,9900.00,FF
539,9950.00,07
540,9900.00,13
541,9950.00,00
542,9950.00,A5
543,9900.00,08
544,9950.00,00
545,9950.00,00
546,9900.00,00
547,9950.00,00
548,9950.00,7A
549,9900.00,1F
550,9950.00,00
551,9900.00,00
552,9950.00,00
553,9950.00,A5
554,9950.00,08
555,9900.00,00
556,9950.00,00
557,9950.00,00
558,9900.00,00
559,9950.00,F2
560,48958800.00,FF
561,10950.00,FF
562,10950.00,07
563,10950.00,04
564,11000.00,02
565,10950.00,38
566,65800.00,11
567,110650.00,A9
568,42450.00,FF
569,9950.00,FF
570,9900.00,07
571,9950.00,13
572,9900.00,00
573,9950.00,A5
574,9950.00,08
575,9900.00,00
576,9950.00,00
577,9950.00,00
578,9900.00,00
579,9950.00,7A
580,9950.00,1F
581,9900.00,00
582,9950.00,00
583,9950.00,00
584,9900.00,A5
585,9950.00,08
586,9950.00,00
587,9900.00,00
588,9950.00,00
589,9950.00,00
590,9900.00,F2
591,49535550.00,FF
592,10950.00,FF
593,10950.00,07
594,10950.00,04
595,11000.00,02
596,10950.00,38
597,71750.00,11
598,97650.00,A9
599,43150.00,FF
600,9950.00,FF
601,9900.00,07
602,9950.00,13
603,9900.00,00
604,9950.00,A5
605,9950.00,08
606,9900.00,00
607,9950.00,00
608,9950.00,00
609,9900.00,00
610,9950.00,7A
611,9950.00,1F
612,9900.00,00
613,9950.00,00
614,9900.00,00
615,9950.00,A5
616,9950.00,08
617,9900.00,00
618,9950.00,00
619,9950.00,00
620,9900.00,00
621,9950.00,F2
