Id,FixHex,OemHex,FixDelta[ns],OemDelta[ns],OemMinusFix[ns],SameByte
172,80,00,9900.00,9950.00,50.00,0
173,00,00,9850.00,10000.00,150.00,1
174,00,00,9900.00,9950.00,50.00,1
175,78,7A,9900.00,10000.00,100.00,0
176,00,19,9850.00,9950.00,100.00,0
177,00,00,9900.00,9950.00,50.00,1
178,00,00,9900.00,10000.00,100.00,1
179,00,00,9850.00,9950.00,100.00,1
180,01,CC,9900.00,9950.00,50.00,0
181,00,08,9900.00,10000.00,100.00,0
182,00,00,9900.00,9950.00,50.00,1
183,00,00,9850.00,9950.00,100.00,1
184,00,00,9900.00,10000.00,100.00,1
185,00,00,9900.00,9950.00,50.00,1
186,EF,A4,9850.00,9950.00,100.00,0
187,FF,FF,48922450.00,49491800.00,569350.00,1
188,FF,FF,10950.00,10950.00,0.00,1
189,02,0D,10950.00,11000.00,50.00,0
190,04,04,11000.00,10950.00,-50.00,1
191,02,02,10950.00,10950.00,0.00,1
192,38,38,10950.00,11000.00,50.00,1
193,11,11,155450.00,23900.00,-131550.00,1
194,AE,A3,59750.00,104650.00,44900.00,0
195,FF,FF,28150.00,45450.00,17300.00,1
196,FF,FF,9850.00,9950.00,100.00,1
197,02,0D,9900.00,9950.00,50.00,0
198,13,13,9900.00,10000.00,100.00,1
199,00,00,9850.00,9950.00,100.00,1
200,02,CC,9900.00,9950.00,50.00,0
201,00,08,9900.00,10000.00,100.00,0
202,00,00,9850.00,9950.00,100.00,1
203,80,00,9900.00,9950.00,50.00,0
204,00,00,9900.00,10000.00,100.00,1
205,00,00,9850.00,9950.00,100.00,1
206,78,7A,9900.00,9950.00,50.00,0
207,00,19,9900.00,10000.00,100.00,0
208,00,00,9850.00,9950.00,100.00,1
209,00,00,9900.00,9950.00,50.00,1
210,00,00,9900.00,10000.00,100.00,1
211,01,CC,9850.00,9950.00,100.00,0
212,00,08,9900.00,9950.00,50.00,0
213,00,00,9900.00,10000.00,100.00,1
214,00,00,9850.00,9950.00,100.00,1
215,00,00,9900.00,9950.00,50.00,1
216,00,00,9900.00,10000.00,100.00,1
217,EF,A4,9850.00,9950.00,100.00,0
218,FF,FF,50353550.00,49745000.00,-608550.00,1
219,FF,FF,11000.00,11000.00,0.00,1
220,02,0D,10950.00,10950.00,0.00,0
221,04,04,10950.00,10950.00,0.00,1
222,02,02,10950.00,10950.00,0.00,1
223,38,38,10950.00,10950.00,0.00,1
224,11,11,17000.00,77750.00,60750.00,1
225,AE,A3,62750.00,64800.00,2050.00,0
226,FF,FF,27750.00,45400.00,17650.00,1
227,FF,FF,9850.00,10000.00,150.00,1
228,02,0D,9900.00,9950.00,50.00,0
229,13,13,9900.00,9950.00,50.00,1
230,00,00,9850.00,9950.00,100.00,1
231,02,CC,9900.00,10000.00,100.00,0
232,00,08,9900.00,9950.00,50.00,0
233,00,00,9850.00,9950.00,100.00,1
234,80,00,9900.00,9950.00,50.00,0
235,00,00,9900.00,10000.00,100.00,1
236,00,00,9900.00,9950.00,50.00,1
237,78,7A,9850.00,9950.00,100.00,0
238,00,19,9900.00,10000.00,100.00,0
239,00,00,9900.00,9950.00,50.00,1
240,00,00,9850.00,9950.00,100.00,1
241,00,00,9900.00,10000.00,100.00,1
242,01,CC,9900.00,9950.00,50.00,0
243,00,08,9900.00,9950.00,50.00,0
244,00,00,9850.00,9950.00,100.00,1
245,00,00,9900.00,10000.00,100.00,1
246,00,00,9900.00,9950.00,50.00,1
247,00,00,9850.00,9950.00,100.00,1
248,EF,A4,9900.00,10000.00,100.00,0
249,FF,FF,48839350.00,49716050.00,876700.00,1
250,FF,FF,10950.00,10950.00,0.00,1
251,02,0D,10950.00,10950.00,0.00,0
252,04,04,10950.00,10950.00,0.00,1
253,02,02,11000.00,11000.00,0.00,1
254,38,38,10950.00,10950.00,0.00,1
255,11,11,21950.00,79750.00,57800.00,1
256,AE,A3,56800.00,139550.00,82750.00,0
257,FF,FF,27150.00,43050.00,15900.00,1
258,FF,FF,9900.00,9950.00,50.00,1
259,02,0D,9900.00,9950.00,50.00,0
260,13,13,9850.00,10000.00,150.00,1
261,00,00,9900.00,9950.00,50.00,1
262,02,CC,9850.00,9950.00,100.00,0
263,00,08,9900.00,10000.00,100.00,0
264,00,00,9900.00,9950.00,50.00,1
265,80,00,9850.00,9950.00,100.00,0
266,01,00,9900.00,9950.00,50.00,0
267,00,00,9900.00,10000.00,100.00,1
268,78,7A,9900.00,9950.00,50.00,0
