Id,DeltaTime[ns],0:UART: RX/TX
563,10950.00,02
564,10950.00,04
565,10950.00,02
566,10950.00,38
567,106650.00,11
568,74700.00,AE
569,58500.00,FF
570,9900.00,FF
571,9900.00,02
572,9850.00,13
573,9900.00,00
574,9850.00,02
575,9900.00,08
576,9900.00,00
577,9850.00,80
578,9900.00,0A
579,9850.00,00
580,9900.00,78
581,9900.00,00
582,9850.00,00
583,9900.00,00
584,9850.00,00
585,9900.00,00
586,9900.00,08
587,9850.00,00
588,9900.00,00
589,9850.00,00
590,9900.00,00
591,9900.00,D6
592,45116600.00,FF
593,10950.00,FF
594,10950.00,02
595,10950.00,04
596,11000.00,02
597,10950.00,38
598,32900.00,11
599,201200.00,AE
600,56600.00,FF
601,9900.00,FF
602,9900.00,02
603,9850.00,13
604,9900.00,00
605,9850.00,02
606,9900.00,08
607,9900.00,00
608,9850.00,80
609,9900.00,0A
610,9900.00,00
611,9850.00,78
612,9900.00,00
613,9900.00,00
614,9850.00,00
615,9900.00,00
616,9850.00,00
617,9900.00,08
618,9900.00,00
619,9850.00,00
620,9900.00,00
621,9900.00,00
622,9850.00,D6
