Id,DeltaTime[ns],0:UART: RX/TX
480,9850.00,02
481,9900.00,00
482,9900.00,00
483,9850.00,80
484,9900.00,03
485,9900.00,00
486,9850.00,78
487,9900.00,00
488,9900.00,00
489,9850.00,00
490,9900.00,00
491,9900.00,01
492,9900.00,00
493,9850.00,00
494,9900.00,00
495,9900.00,00
496,9850.00,00
497,9900.00,EC
498,49227000.00,FF
499,10950.00,FF
500,11000.00,02
501,10950.00,04
502,11000.00,02
503,10950.00,38
504,47850.00,11
505,59800.00,AE
506,26300.00,FF
507,9900.00,FF
508,9850.00,02
509,9900.00,13
510,9850.00,00
511,9900.00,02
512,9900.00,00
513,9850.00,00
514,9900.00,80
515,9900.00,03
516,9900.00,00
517,9850.00,78
518,9900.00,00
519,9900.00,00
520,9850.00,00
521,9900.00,00
522,9900.00,01
523,9850.00,00
524,9900.00,00
525,9900.00,00
526,9900.00,00
527,9850.00,00
528,9900.00,EC
529,49449500.00,FF
530,10950.00,FF
531,10950.00,02
532,10950.00,04
533,10950.00,02
534,11000.00,38
535,176300.00,11
536,59750.00,AE
537,25600.00,FF
538,9900.00,FF
539,9900.00,02
540,9850.00,13
541,9900.00,00
542,9900.00,02
543,9850.00,00
544,9900.00,00
545,9900.00,80
546,9900.00,03
547,9850.00,00
548,9900.00,78
549,9850.00,00
550,9900.00,00
551,9900.00,00
552,9900.00,00
553,9850.00,01
554,9900.00,00
555,9900.00,00
556,9850.00,00
557,9900.00,00
558,9900.00,00
559,9850.00,EC
560,49525150.00,FF
561,10950.00,FF
562,10950.00,02
563,10950.00,04
564,11000.00,02
565,10950.00,38
566,10950.00,11
567,64800.00,AE
568,29100.00,FF
569,9850.00,FF
570,9900.00,02
571,9900.00,13
572,9850.00,00
573,9900.00,02
574,9900.00,00
575,9900.00,00
576,9850.00,80
577,9900.00,04
578,9900.00,00
579,9850.00,78
580,9900.00,00
581,9900.00,00
582,9850.00,00
583,9900.00,00
584,9900.00,01
585,9850.00,00
586,9900.00,00
587,9900.00,00
588,9850.00,00
589,9900.00,00
590,9900.00,EB
591,49672000.00,FF
592,10950.00,FF
593,10950.00,02
594,10950.00,04
595,10950.00,02
596,10950.00,38
597,18950.00,11
598,61750.00,AE
599,25350.00,FF
600,9850.00,FF
601,9900.00,02
602,9850.00,13
603,9900.00,00
604,9900.00,02
605,9900.00,00
606,9850.00,00
607,9900.00,80
608,9900.00,04
609,9850.00,00
610,9900.00,78
611,9900.00,00
612,9850.00,00
613,9900.00,00
614,9900.00,00
615,9850.00,01
616,9900.00,00
617,9900.00,00
618,9900.00,00
619,9850.00,00
620,9900.00,00
621,9900.00,EB
