Id,OursHex,OemHex,OursDelta[ns],OemDelta[ns],DiffDelta[ns],SameByte
213,00,00,12800.00,10000.00,-2800.00,1
214,00,00,12850.00,9950.00,-2900.00,1
215,00,00,12850.00,9950.00,-2900.00,1
216,00,00,12850.00,10000.00,-2850.00,1
217,00,A4,12800.00,9950.00,-2850.00,0
218,CE,FF,12850.00,49745000.00,49732150.00,0
219,FF,FF,49485450.00,11000.00,-49474450.00,1
220,FF,0D,10950.00,10950.00,0.00,0
221,02,04,11000.00,10950.00,-50.00,0
222,04,02,10950.00,10950.00,0.00,0
223,02,38,11000.00,10950.00,-50.00,0
224,38,11,10950.00,77750.00,66800.00,0
225,11,A3,90750.00,64800.00,-25950.00,0
226,AE,FF,108700.00,45400.00,-63300.00,0
227,FF,FF,56400.00,10000.00,-46400.00,1
228,FF,0D,12800.00,9950.00,-2850.00,0
229,02,13,12850.00,9950.00,-2900.00,0
230,13,00,12850.00,9950.00,-2900.00,0
231,00,CC,12850.00,10000.00,-2850.00,0
232,00,08,12850.00,9950.00,-2900.00,0
233,00,00,12800.00,9950.00,-2850.00,1
234,00,00,12850.00,9950.00,-2900.00,1
235,80,00,12850.00,10000.00,-2850.00,0
236,1F,00,12850.00,9950.00,-2900.00,0
237,04,7A,12800.00,9950.00,-2850.00,0
238,78,19,12850.00,10000.00,-2850.00,0
239,00,00,12850.00,9950.00,-2900.00,1
240,00,00,12850.00,9950.00,-2900.00,1
241,00,00,12800.00,10000.00,-2800.00,1
242,00,CC,12850.00,9950.00,-2900.00,0
243,01,08,12850.00,9950.00,-2900.00,0
244,00,00,12850.00,9950.00,-2900.00,1
245,00,00,12800.00,10000.00,-2800.00,1
246,00,00,12850.00,9950.00,-2900.00,1
247,00,00,12850.00,9950.00,-2900.00,1
248,00,A4,12850.00,10000.00,-2850.00,0
249,CE,FF,12800.00,49716050.00,49703250.00,0
250,FF,FF,49126250.00,10950.00,-49115300.00,1
251,FF,0D,10950.00,10950.00,0.00,0
252,02,04,10950.00,10950.00,0.00,0
253,04,02,11000.00,11000.00,0.00,0
254,02,38,10950.00,10950.00,0.00,0
255,38,11,10950.00,79750.00,68800.00,0
256,11,A3,116600.00,139550.00,22950.00,0
257,AE,FF,102650.00,43050.00,-59600.00,0
258,FF,FF,56650.00,9950.00,-46700.00,1
259,FF,0D,12850.00,9950.00,-2900.00,0
260,02,13,12800.00,10000.00,-2800.00,0
261,13,00,12850.00,9950.00,-2900.00,0
262,00,CC,12850.00,9950.00,-2900.00,0
263,00,08,12850.00,10000.00,-2850.00,0
264,00,00,12800.00,9950.00,-2850.00,1
265,00,00,12850.00,9950.00,-2900.00,1
266,80,00,12850.00,9950.00,-2900.00,0
267,1F,00,12850.00,10000.00,-2850.00,0
268,04,7A,12800.00,9950.00,-2850.00,0
269,78,19,12850.00,9950.00,-2900.00,0
