Id,DeltaTime[ns],0:UART: RX/TX
475,43900.00,FF
476,9950.00,FF
477,10000.00,0D
478,9950.00,13
479,9950.00,00
480,10000.00,CC
481,9950.00,08
482,9950.00,00
483,10000.00,00
484,9950.00,00
485,9950.00,00
486,10000.00,7A
487,9950.00,19
488,9950.00,00
489,9950.00,00
490,10000.00,00
491,9950.00,CC
492,9950.00,08
493,9950.00,00
494,10000.00,00
495,9950.00,00
496,9950.00,00
497,10000.00,A4
498,49105350.00,FF
499,10950.00,FF
500,11000.00,0D
501,10950.00,04
502,10950.00,02
503,11000.00,38
504,124550.00,11
505,80700.00,A3
506,43900.00,FF
507,9950.00,FF
508,10000.00,0D
509,9950.00,13
510,9950.00,00
511,10000.00,CC
512,9950.00,08
513,9950.00,00
514,9950.00,00
515,10000.00,00
516,9950.00,00
517,9950.00,7A
518,10000.00,19
519,9950.00,00
520,9950.00,00
521,10000.00,00
522,9950.00,CC
523,9950.00,08
524,10000.00,00
525,9950.00,00
526,9950.00,00
527,10000.00,00
528,9950.00,A4
529,49951900.00,FF
530,10950.00,FF
531,11000.00,0D
532,10950.00,04
533,10950.00,02
534,10950.00,38
535,133600.00,11
536,122550.00,A3
537,45700.00,FF
538,10000.00,FF
539,9950.00,0D
540,9950.00,13
541,10000.00,00
542,9950.00,CC
543,10000.00,08
544,9950.00,00
545,9950.00,00
546,10000.00,00
547,9950.00,00
548,9950.00,7A
549,10000.00,19
550,9950.00,00
551,9950.00,00
552,10000.00,00
553,9950.00,CC
554,9950.00,08
555,10000.00,00
556,9950.00,00
557,9950.00,00
558,10000.00,00
559,9950.00,A4
560,48975150.00,FF
561,10950.00,FF
562,11000.00,0D
563,10950.00,04
564,10950.00,02
565,10950.00,38
566,54800.00,11
567,129600.00,A3
568,45050.00,FF
569,9950.00,FF
570,10000.00,0D
571,9950.00,13
572,9950.00,00
573,10000.00,CC
574,9950.00,08
575,9950.00,00
576,10000.00,00
577,9950.00,00
578,9950.00,00
579,10000.00,7A
580,9950.00,19
581,9950.00,00
582,10000.00,00
583,9950.00,00
584,9950.00,CC
585,10000.00,08
586,9950.00,00
587,9950.00,00
588,10000.00,00
589,9950.00,00
590,9950.00,A4
591,49527500.00,FF
592,10950.00,FF
593,10950.00,0D
594,10950.00,04
595,11000.00,02
596,10950.00,38
597,115600.00,11
598,93700.00,A3
599,43300.00,FF
600,9950.00,FF
601,9950.00,0D
602,9950.00,13
603,10000.00,00
604,9950.00,CC
605,9950.00,08
606,10000.00,00
607,9950.00,00
608,9950.00,00
609,9950.00,00
610,10000.00,7A
611,9950.00,19
612,10000.00,00
613,9950.00,00
614,9950.00,00
615,9950.00,CC
616,10000.00,08
617,9950.00,00
618,9950.00,00
619,10000.00,00
620,9950.00,00
621,9950.00,A4
