Id,OldHex,FixHex,OemHex,VirtHex,OldDelta[ns],FixDelta[ns],OemDelta[ns],VirtDelta[ns],FixMinusOld[ns],OemMinusFix[ns],VirtMinusFix[ns]
128,04,04,04,04,10950.00,11000.00,10950.00,10950.00,50.00,-50.00,-50.00
129,02,02,02,02,11000.00,10950.00,10950.00,10950.00,-50.00,0.00,0.00
130,38,38,38,38,10950.00,10950.00,10950.00,11000.00,0.00,0.00,50.00
131,11,11,11,11,119600.00,41850.00,77750.00,25900.00,-77750.00,35900.00,-15950.00
132,AE,AE,A3,AD,138550.00,81700.00,72800.00,134450.00,-56850.00,-8900.00,52750.00
133,FF,FF,FF,FF,59250.00,37500.00,45950.00,40900.00,-21750.00,8450.00,3400.00
134,FF,FF,FF,FF,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
135,02,02,0D,03,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
136,13,13,13,13,12850.00,9900.00,10000.00,10000.00,-2950.00,100.00,100.00
137,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
138,00,02,CC,6F,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
139,00,08,08,07,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
140,00,00,00,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
141,80,80,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
142,1F,02,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
143,04,04,00,00,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
144,78,78,7A,7A,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
145,00,00,19,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
146,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
147,00,00,00,00,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
148,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
149,01,00,CC,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
150,00,08,08,07,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
151,00,00,00,9D,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
152,00,00,00,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
153,00,00,00,00,12800.00,9850.00,9950.00,10000.00,-2950.00,100.00,150.00
154,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
155,CE,DA,A4,E3,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
156,FF,FF,FF,FF,48704700.00,60631950.00,49666250.00,49642100.00,11927250.00,-10965700.00,-10989850.00
157,FF,FF,FF,FF,10950.00,11000.00,10950.00,10950.00,50.00,-50.00,-50.00
158,02,02,0D,03,11000.00,10950.00,11000.00,10950.00,-50.00,50.00,0.00
159,04,04,04,04,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
160,02,02,02,02,10950.00,11950.00,10950.00,11000.00,1000.00,-1000.00,-950.00
161,38,38,38,38,11000.00,11000.00,11000.00,10950.00,0.00,0.00,-50.00
162,11,11,11,11,64800.00,32850.00,57800.00,34900.00,-31950.00,24950.00,2050.00
163,AE,AE,A3,AD,107700.00,93650.00,73750.00,136500.00,-14050.00,-19900.00,42850.00
164,FF,FF,FF,FF,36300.00,56850.00,44300.00,44100.00,20550.00,-12550.00,-12750.00
165,FF,FF,FF,FF,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
166,02,02,0D,03,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
167,13,13,13,13,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
168,00,00,00,00,12800.00,9850.00,9950.00,10000.00,-2950.00,100.00,150.00
169,00,02,CC,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
170,00,08,08,07,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
171,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
172,80,80,00,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
173,1F,01,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
174,04,04,00,00,12850.00,9850.00,9950.00,10000.00,-3000.00,100.00,150.00
175,78,78,7A,7A,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
176,00,00,19,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
177,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
178,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
179,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
180,01,00,CC,6F,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
181,00,08,08,07,12850.00,9850.00,10000.00,10000.00,-3000.00,150.00,150.00
182,00,00,00,9D,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
183,00,00,00,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
184,00,00,00,00,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
185,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
186,CE,DB,A4,E3,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
187,00,FF,FF,FF,14438300.00,45493150.00,49491800.00,49745450.00,31054850.00,3998650.00,4252300.00
188,FF,FF,FF,FF,35648700.00,10950.00,10950.00,11000.00,-35637750.00,0.00,50.00
189,FF,02,0D,03,11000.00,10950.00,11000.00,10950.00,-50.00,50.00,0.00
190,02,04,04,04,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
191,04,02,02,02,10950.00,10950.00,10950.00,11000.00,0.00,0.00,50.00
192,02,38,38,38,11000.00,11000.00,11000.00,10950.00,0.00,0.00,-50.00
193,38,11,11,11,10950.00,81700.00,23900.00,59800.00,70750.00,-57800.00,-21900.00
194,11,AE,A3,AD,106600.00,107550.00,104650.00,147550.00,950.00,-2900.00,40000.00
195,AE,FF,FF,FF,132550.00,58600.00,45450.00,41600.00,-73950.00,-13150.00,-17000.00
196,FF,FF,FF,FF,56950.00,9850.00,9950.00,9950.00,-47100.00,100.00,100.00
197,FF,02,0D,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
198,02,13,13,13,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
199,13,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
200,00,02,CC,6F,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
201,00,08,08,07,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
202,00,00,00,00,12800.00,9900.00,9950.00,10000.00,-2900.00,50.00,100.00
203,00,80,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
204,80,01,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
205,1F,04,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
206,04,78,7A,7A,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
207,78,00,19,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
208,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
209,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
210,00,00,00,00,12800.00,9850.00,10000.00,10000.00,-2950.00,150.00,150.00
211,00,00,CC,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
212,01,08,08,07,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
213,00,00,00,9E,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
214,00,00,00,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
215,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
216,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
217,00,DB,A4,E2,12800.00,9850.00,9950.00,10000.00,-2950.00,100.00,150.00
218,CE,FF,FF,FF,12850.00,45376400.00,49745000.00,48930650.00,45363550.00,4368600.00,3554250.00
219,FF,FF,FF,FF,49485450.00,10950.00,11000.00,11000.00,-49474500.00,50.00,50.00
220,FF,02,0D,03,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
221,02,04,04,04,11000.00,11000.00,10950.00,10950.00,0.00,-50.00,-50.00
