Id,OldHex,FixHex,OemHex,VirtHex,OldDelta[ns],FixDelta[ns],OemDelta[ns],VirtDelta[ns],FixMinusOld[ns],OemMinusFix[ns],VirtMinusFix[ns]
602,13,02,13,13,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
603,00,13,00,00,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
604,00,00,CC,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
605,00,02,08,07,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
606,00,08,00,00,12850.00,9900.00,10000.00,10000.00,-2950.00,100.00,100.00
607,80,00,00,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
608,1F,80,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
609,04,0A,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
610,78,00,7A,7A,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
611,00,78,19,00,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
612,00,00,00,00,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
613,00,00,00,00,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
614,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
615,01,00,CC,6F,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
616,00,00,08,07,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
617,00,08,00,A2,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
618,00,00,00,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
619,00,00,00,00,12800.00,9850.00,10000.00,9950.00,-2950.00,150.00,100.00
620,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
621,CE,00,A4,DE,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
