Id,AHex,BHex,ADelta[ns],BDelta[ns],AMinusB[ns],SameByte
387,00,A5,9850.00,9950.00,-100.00,0
388,03,08,9900.00,9950.00,-50.00,0
389,08,00,9850.00,9900.00,-50.00,0
390,00,00,9900.00,9950.00,-50.00,1
391,00,00,9850.00,9950.00,-100.00,1
392,04,00,9900.00,9900.00,0.00,0
393,00,7A,9850.00,9950.00,-100.00,0
394,78,1F,9900.00,9950.00,-50.00,0
395,00,00,9850.00,9900.00,-50.00,1
396,00,00,9900.00,9950.00,-50.00,1
397,00,00,9850.00,9950.00,-100.00,1
398,00,A5,9900.00,9900.00,0.00,0
399,FF,08,9850.00,9950.00,-100.00,0
400,07,00,9900.00,9950.00,-50.00,0
401,00,00,9900.00,9900.00,0.00,1
402,00,00,9850.00,9950.00,-100.00,1
403,00,00,9900.00,9950.00,-50.00,1
404,00,F2,9850.00,9900.00,-50.00,0
405,5D,FF,9900.00,49869250.00,-49859350.00,0
406,FF,FF,49430150.00,10950.00,49419200.00,1
407,FF,07,10950.00,10950.00,0.00,0
408,02,04,10950.00,11000.00,-50.00,0
409,04,02,10950.00,10950.00,0.00,0
410,02,38,10950.00,10950.00,0.00,0
411,38,11,10950.00,81750.00,-70800.00,0
412,11,A9,16950.00,104650.00,-87700.00,0
413,AE,FF,133450.00,42450.00,91000.00,0
414,FF,FF,26800.00,9900.00,16900.00,1
415,FF,07,9850.00,9950.00,-100.00,0
416,02,13,9900.00,9900.00,0.00,0
417,13,00,9850.00,9950.00,-100.00,0
418,00,A5,9850.00,9950.00,-100.00,0
419,03,08,9900.00,9900.00,0.00,0
420,08,00,9850.00,9950.00,-100.00,0
421,00,00,9900.00,9900.00,0.00,1
422,00,00,9850.00,9950.00,-100.00,1
423,06,00,9900.00,9950.00,-50.00,0
424,00,7A,9850.00,9900.00,-50.00,0
425,78,1F,9900.00,9950.00,-50.00,0
426,00,00,9850.00,9950.00,-100.00,1
427,00,00,9900.00,9900.00,0.00,1
428,00,00,9850.00,9950.00,-100.00,1
429,00,A5,9900.00,9950.00,-50.00,0
430,FF,08,9900.00,9900.00,0.00,0
431,07,00,9850.00,9950.00,-100.00,0
432,00,00,9900.00,9950.00,-50.00,1
433,00,00,9850.00,9900.00,-50.00,1
434,00,00,9900.00,9950.00,-50.00,1
435,00,F2,9850.00,9900.00,-50.00,0
436,5B,FF,9900.00,49462600.00,-49452700.00,0
437,FF,FF,48897750.00,10950.00,48886800.00,1
438,FF,07,10950.00,10950.00,0.00,0
