Id,OursHex,OemHex,VirtHex,OursDelta[ns],OemDelta[ns],VirtDelta[ns],OemMinusOurs[ns],VirtMinusOurs[ns],VirtMinusOem[ns]
103,FF,FF,FF,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
104,02,0D,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
105,13,13,13,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
106,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
107,00,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
108,00,08,07,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
109,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
110,80,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
111,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
112,04,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
113,78,7A,7A,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
114,00,19,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
115,00,00,00,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
116,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
117,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
118,01,CC,6F,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
119,00,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
120,00,00,9D,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
121,00,00,03,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
122,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
123,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
124,CE,A4,E3,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
125,FF,FF,FF,49304300.00,48799300.00,49552450.00,-505000.00,248150.00,753150.00
126,FF,FF,FF,11000.00,10950.00,10950.00,-50.00,-50.00,0.00
127,02,0D,03,10950.00,11000.00,10950.00,50.00,0.00,-50.00
128,04,04,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
129,02,02,02,11000.00,10950.00,10950.00,-50.00,-50.00,0.00
130,38,38,38,10950.00,10950.00,11000.00,0.00,50.00,50.00
131,11,11,11,119600.00,77750.00,25900.00,-41850.00,-93700.00,-51850.00
132,AE,A3,AD,138550.00,72800.00,134450.00,-65750.00,-4100.00,61650.00
133,FF,FF,FF,59250.00,45950.00,40900.00,-13300.00,-18350.00,-5050.00
134,FF,FF,FF,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
135,02,0D,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
136,13,13,13,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
137,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
138,00,CC,6F,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
139,00,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
140,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
141,80,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
142,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
143,04,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
144,78,7A,7A,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
145,00,19,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
