Id,DeltaTime[ns],0:UART: RX/TX
460,12850.00,01
461,12850.00,00
462,12850.00,00
463,12800.00,00
464,12850.00,00
465,12850.00,00
466,12850.00,CE
467,49648550.00,FF
468,10950.00,FF
469,10950.00,02
470,10950.00,04
471,11000.00,02
472,10950.00,38
473,77700.00,11
474,120600.00,AE
475,57550.00,FF
476,12850.00,FF
477,12850.00,02
478,12800.00,13
479,12850.00,00
480,12850.00,00
481,12850.00,00
482,12800.00,00
483,12850.00,80
484,12850.00,1F
485,12850.00,04
486,12850.00,78
487,12800.00,00
488,12850.00,00
489,12850.00,00
490,12850.00,00
491,12800.00,01
492,12850.00,00
493,12850.00,00
494,12850.00,00
495,12800.00,00
496,12850.00,00
497,12850.00,CE
498,48892850.00,FF
499,10950.00,FF
500,10950.00,02
501,10950.00,04
502,11000.00,02
503,10950.00,38
504,99600.00,11
505,110650.00,AE
506,56950.00,FF
507,12850.00,FF
508,12850.00,02
509,12850.00,13
510,12850.00,00
511,12800.00,00
512,12850.00,00
513,12850.00,00
514,12850.00,80
515,12850.00,1F
516,12800.00,04
517,12850.00,78
518,12850.00,00
519,12850.00,00
520,12850.00,00
521,12800.00,00
522,12850.00,01
523,12850.00,00
524,12850.00,00
525,12850.00,00
526,12800.00,00
527,12850.00,00
528,12850.00,CE
529,50046800.00,FF
530,10950.00,FF
531,11000.00,02
532,10950.00,04
533,10950.00,02
534,10950.00,38
535,115600.00,11
536,111700.00,AE
537,37200.00,FF
538,12850.00,FF
539,12850.00,02
540,12850.00,13
541,12800.00,00
542,12850.00,00
543,12850.00,00
544,12850.00,00
545,12800.00,80
546,12850.00,1F
547,12850.00,04
548,12850.00,78
549,12800.00,00
550,12850.00,00
551,12850.00,00
552,12850.00,00
553,12800.00,01
554,12850.00,00
555,12850.00,00
556,12850.00,00
557,12800.00,00
558,12850.00,00
559,12850.00,CE
560,49306400.00,FF
561,10950.00,FF
562,10950.00,02
563,10950.00,04
564,10950.00,02
565,10950.00,38
566,142450.00,11
567,134450.00,AE
568,57850.00,FF
569,12850.00,FF
570,12850.00,02
571,12850.00,13
572,12800.00,00
573,12850.00,00
574,12850.00,00
575,12850.00,00
576,12800.00,80
577,12850.00,1F
578,12850.00,04
579,12850.00,78
580,12850.00,00
581,12800.00,00
582,12850.00,00
583,12850.00,00
584,12850.00,01
585,12800.00,00
586,12850.00,00
587,12850.00,00
588,12850.00,00
589,12800.00,00
590,12850.00,CE
591,49639300.00,FF
592,10950.00,FF
593,10950.00,02
594,10950.00,04
595,11000.00,02
596,10950.00,38
597,89700.00,11
598,109650.00,AE
599,56550.00,FF
600,12850.00,FF
601,12850.00,02
602,12850.00,13
603,12800.00,00
604,12850.00,00
605,12850.00,00
606,12850.00,00
607,12800.00,80
608,12850.00,1F
609,12850.00,04
610,12850.00,78
611,12800.00,00
612,12850.00,00
613,12850.00,00
614,12850.00,00
615,12800.00,01
616,12850.00,00
617,12850.00,00
618,12850.00,00
619,12800.00,00
620,12850.00,00
621,12850.00,CE
