Id,DeltaTime[ns],0:UART: RX/TX
564,10950.00,02
565,10950.00,38
566,43850.00,11
567,128600.00,AD
568,42350.00,FF
569,9950.00,FF
570,9950.00,03
571,9950.00,13
572,9950.00,00
573,10000.00,6F
574,9950.00,07
575,9950.00,00
576,9950.00,00
577,9950.00,00
578,9950.00,00
579,10000.00,7A
580,9950.00,00
581,9950.00,00
582,9950.00,00
583,9950.00,00
584,9950.00,6F
585,9950.00,07
586,9950.00,A1
587,10000.00,03
588,9950.00,00
589,9950.00,00
590,9950.00,DF
591,49160550.00,FF
592,10950.00,FF
593,10950.00,03
594,10950.00,04
595,11000.00,02
596,10950.00,38
597,45850.00,11
598,236100.00,AD
599,43400.00,FF
600,9950.00,FF
601,9950.00,03
602,9950.00,13
603,9950.00,00
604,9950.00,6F
605,9950.00,07
606,10000.00,00
607,9950.00,00
608,9950.00,00
609,9950.00,00
610,9950.00,7A
611,9950.00,00
612,9950.00,00
613,10000.00,00
614,9950.00,00
615,9950.00,6F
616,9950.00,07
617,9950.00,A2
618,9950.00,03
619,9950.00,00
620,9950.00,00
621,10000.00,DE
