Id,SingleHex,MultiHex,SingleDelta[ns],MultiDelta[ns],DiffDelta[ns],SameByte
214,00,00,12850.00,12850.00,0.00,1
215,00,00,12850.00,12850.00,0.00,1
216,00,00,12850.00,12850.00,0.00,1
217,00,4D,12800.00,12800.00,0.00,0
218,CE,FF,12850.00,49497500.00,49484650.00,0
219,FF,FF,49485450.00,10950.00,-49474500.00,1
220,FF,02,10950.00,10950.00,0.00,0
221,02,04,11000.00,11000.00,0.00,0
222,04,02,10950.00,11950.00,1000.00,0
223,02,38,11000.00,10950.00,-50.00,0
224,38,11,10950.00,71750.00,60800.00,0
225,11,AE,90750.00,107650.00,16900.00,0
226,AE,FF,108700.00,58100.00,-50600.00,0
227,FF,FF,56400.00,12850.00,-43550.00,1
228,FF,02,12800.00,12850.00,50.00,0
229,02,13,12850.00,12850.00,0.00,0
230,13,00,12850.00,12800.00,-50.00,0
231,00,00,12850.00,12850.00,0.00,1
232,00,00,12850.00,12850.00,0.00,1
233,00,00,12800.00,12850.00,50.00,1
234,00,00,12850.00,12800.00,-50.00,1
235,80,20,12850.00,12850.00,0.00,0
236,1F,04,12850.00,12850.00,0.00,0
237,04,78,12800.00,12850.00,50.00,0
238,78,00,12850.00,12800.00,-50.00,0
239,00,00,12850.00,12850.00,0.00,1
240,00,00,12850.00,12850.00,0.00,1
241,00,00,12800.00,12850.00,50.00,1
242,00,01,12850.00,12800.00,-50.00,0
243,01,00,12850.00,12850.00,0.00,0
244,00,00,12850.00,12850.00,0.00,1
245,00,00,12800.00,12850.00,50.00,1
246,00,00,12850.00,12800.00,-50.00,1
247,00,00,12850.00,12850.00,0.00,1
248,00,4D,12850.00,12850.00,0.00,0
249,CE,FF,12800.00,49458850.00,49446050.00,0
250,FF,FF,49126250.00,10950.00,-49115300.00,1
251,FF,02,10950.00,11000.00,50.00,0
252,02,04,10950.00,10950.00,0.00,0
253,04,02,11000.00,10950.00,-50.00,0
254,02,38,10950.00,10950.00,0.00,0
255,38,11,10950.00,111650.00,100700.00,0
256,11,AE,116600.00,100650.00,-15950.00,0
257,AE,FF,102650.00,57100.00,-45550.00,0
258,FF,FF,56650.00,12850.00,-43800.00,1
259,FF,02,12850.00,12800.00,-50.00,0
260,02,13,12800.00,12850.00,50.00,0
261,13,00,12850.00,12850.00,0.00,0
262,00,00,12850.00,12850.00,0.00,1
263,00,00,12850.00,12850.00,0.00,1
264,00,00,12800.00,12800.00,0.00,1
265,00,00,12850.00,12850.00,0.00,1
266,80,20,12850.00,13850.00,1000.00,0
267,1F,04,12850.00,12850.00,0.00,0
268,04,78,12800.00,12800.00,0.00,0
269,78,00,12850.00,12850.00,0.00,0
270,00,00,12850.00,12850.00,0.00,1
271,00,00,12850.00,12850.00,0.00,1
272,00,00,12800.00,12800.00,0.00,1
273,00,01,12850.00,12850.00,0.00,0
274,01,00,12850.00,12850.00,0.00,0
275,00,00,12850.00,12850.00,0.00,1
276,00,00,12800.00,12850.00,50.00,1
277,00,00,12850.00,12800.00,-50.00,1
278,00,00,12850.00,12850.00,0.00,1
279,00,4D,12850.00,12850.00,0.00,0
280,CE,FF,12800.00,49335100.00,49322300.00,0
281,FF,FF,49446600.00,11000.00,-49435600.00,1
282,FF,02,10950.00,10950.00,0.00,0
283,02,04,10950.00,10950.00,0.00,0
284,04,02,11000.00,10950.00,-50.00,0
285,02,38,10950.00,11000.00,50.00,0
286,38,11,10950.00,142500.00,131550.00,0
287,11,AE,63800.00,143500.00,79700.00,0
288,AE,FF,108650.00,35650.00,-73000.00,0
289,FF,FF,37250.00,12850.00,-24400.00,1
290,FF,02,12850.00,12850.00,0.00,0
291,02,13,12800.00,12850.00,50.00,0
292,13,00,12850.00,12850.00,0.00,0
293,00,00,12850.00,12850.00,0.00,1
294,00,00,12850.00,12850.00,0.00,1
295,00,00,12800.00,12800.00,0.00,1
296,00,00,12850.00,12850.00,0.00,1
297,80,20,12850.00,12850.00,0.00,0
298,1F,04,12850.00,12850.00,0.00,0
299,04,78,12800.00,12850.00,50.00,0
300,78,00,12850.00,12850.00,0.00,0
301,00,00,12850.00,12850.00,0.00,1
302,00,00,12850.00,12800.00,-50.00,1
303,00,00,12850.00,12850.00,0.00,1
304,00,01,12800.00,12850.00,50.00,0
305,01,00,12850.00,12850.00,0.00,0
306,00,00,12850.00,12850.00,0.00,1
307,00,00,12850.00,12850.00,0.00,1
308,00,00,12800.00,12850.00,50.00,1
309,00,00,12850.00,12800.00,-50.00,1
310,00,4D,12850.00,12850.00,0.00,0
311,CE,FF,12850.00,49494700.00,49481850.00,0
312,FF,FF,49456100.00,11000.00,-49445100.00,1
313,FF,02,10950.00,10950.00,0.00,0
314,02,04,10950.00,10950.00,0.00,0
315,04,02,10950.00,11000.00,50.00,0
316,02,38,10950.00,10950.00,0.00,0
317,38,11,11000.00,89700.00,78700.00,0
318,11,AE,112600.00,131600.00,19000.00,0
319,AE,FF,135500.00,57900.00,-77600.00,0
320,FF,FF,56200.00,12850.00,-43350.00,1
321,FF,02,12850.00,12850.00,0.00,0
322,02,13,12850.00,12850.00,0.00,0
323,13,00,12800.00,12850.00,50.00,0
324,00,00,12850.00,12800.00,-50.00,1
325,00,00,12850.00,12850.00,0.00,1
326,00,00,12850.00,12850.00,0.00,1
327,00,00,12800.00,12850.00,50.00,1
328,80,20,12850.00,12850.00,0.00,0
329,1F,04,12850.00,12800.00,-50.00,0
330,04,78,12850.00,12850.00,0.00,0
331,78,00,12800.00,12850.00,50.00,0
332,00,00,12850.00,12850.00,0.00,1
333,00,00,12850.00,12850.00,0.00,1
334,00,00,12850.00,12800.00,-50.00,1
335,00,01,12800.00,12850.00,50.00,0
336,01,00,12850.00,12850.00,0.00,0
337,00,00,12850.00,12850.00,0.00,1
338,00,00,12850.00,12800.00,-50.00,1
339,00,00,12800.00,12850.00,50.00,1
340,00,00,12850.00,12850.00,0.00,1
341,00,4D,12850.00,12850.00,0.00,0
342,CE,FF,12850.00,48852950.00,48840100.00,0
343,FF,FF,49355250.00,10950.00,-49344300.00,1
344,FF,02,11000.00,10950.00,-50.00,0
345,02,04,10950.00,11000.00,50.00,0
346,04,02,10950.00,10950.00,0.00,0
347,02,38,11000.00,10950.00,-50.00,0
348,38,11,10950.00,77700.00,66750.00,0
349,11,AE,129550.00,181300.00,51750.00,0
350,AE,FF,121600.00,56550.00,-65050.00,0
351,FF,FF,56500.00,12850.00,-43650.00,1
352,FF,02,12800.00,12800.00,0.00,0
353,02,13,12850.00,12850.00,0.00,0
354,13,00,12850.00,12850.00,0.00,0
355,00,00,12850.00,12850.00,0.00,1
356,00,00,12800.00,12800.00,0.00,1
357,00,00,12850.00,12850.00,0.00,1
358,00,00,12850.00,12850.00,0.00,1
359,80,20,12850.00,12850.00,0.00,0
360,1F,04,12850.00,12800.00,-50.00,0
361,04,78,12800.00,12850.00,50.00,0
362,78,00,12850.00,12850.00,0.00,0
363,00,00,12850.00,12850.00,0.00,1
364,00,00,12850.00,12850.00,0.00,1
365,00,00,12800.00,12800.00,0.00,1
366,00,01,12850.00,12850.00,0.00,0
367,01,00,12850.00,12850.00,0.00,0
368,00,00,12850.00,12850.00,0.00,1
369,00,00,12800.00,12850.00,50.00,1
370,00,00,12850.00,12800.00,-50.00,1
371,00,00,12850.00,12850.00,0.00,1
372,00,4D,12850.00,12850.00,0.00,0
373,CE,FF,12800.00,49321000.00,49308200.00,0
374,FF,FF,49175900.00,10950.00,-49164950.00,1
375,FF,02,10950.00,10950.00,0.00,0
376,02,04,10950.00,11000.00,50.00,0
377,04,02,10950.00,10950.00,0.00,0
378,02,38,11000.00,10950.00,-50.00,0
379,38,11,10950.00,91750.00,80800.00,0
380,11,AE,115550.00,104700.00,-10850.00,0
381,AE,FF,127600.00,58400.00,-69200.00,0
382,FF,FF,58400.00,12850.00,-45550.00,1
383,FF,02,12800.00,12800.00,0.00,0
384,02,13,12850.00,12850.00,0.00,0
385,13,00,12850.00,12850.00,0.00,0
386,00,00,12800.00,13800.00,1000.00,1
387,00,00,12850.00,12850.00,0.00,1
388,00,00,12850.00,12850.00,0.00,1
389,00,00,12850.00,12850.00,0.00,1
390,80,20,12800.00,12800.00,0.00,0
391,1F,04,12850.00,12850.00,0.00,0
392,04,78,12850.00,12850.00,0.00,0
393,78,00,12850.00,12850.00,0.00,0
394,00,00,12800.00,12800.00,0.00,1
395,00,00,12850.00,12850.00,0.00,1
396,00,00,12850.00,12850.00,0.00,1
397,00,01,12850.00,12850.00,0.00,0
398,01,00,12800.00,12850.00,50.00,0
399,00,00,13850.00,12800.00,-1050.00,1
400,00,00,12850.00,12850.00,0.00,1
401,00,00,12800.00,12850.00,50.00,1
402,00,00,12850.00,12850.00,0.00,1
403,00,4D,12850.00,12850.00,0.00,0
404,CE,FF,12850.00,49763000.00,49750150.00,0
405,FF,FF,49176300.00,10950.00,-49165350.00,1
406,FF,02,10950.00,10950.00,0.00,0
407,02,04,10950.00,10950.00,0.00,0
408,04,02,10950.00,10950.00,0.00,0
409,02,38,11000.00,11000.00,0.00,0
410,38,11,10950.00,88650.00,77700.00,0
411,11,AE,83650.00,101650.00,18000.00,0
412,AE,FF,126550.00,37550.00,-89000.00,0
413,FF,FF,36150.00,12850.00,-23300.00,1
414,FF,02,12850.00,12850.00,0.00,0
415,02,13,12850.00,12800.00,-50.00,0
416,13,00,12800.00,12850.00,50.00,0
