from_id,to_id,from_time_ns,to_time_ns,delta_ns,delta_us,delta_ms,from_byte,to_byte
115,116,185087000.00,185099900.00,12900.00,12.900000,0.012900000,00,00
116,117,185099900.00,185112750.00,12850.00,12.850000,0.012850000,00,00
117,118,185112750.00,185125600.00,12850.00,12.850000,0.012850000,00,22
118,119,185125600.00,185138450.00,12850.00,12.850000,0.012850000,22,0B
119,120,185138450.00,185151300.00,12850.00,12.850000,0.012850000,0B,00
120,121,185151300.00,185164200.00,12900.00,12.900000,0.012900000,00,00
121,122,185164200.00,185177050.00,12850.00,12.850000,0.012850000,00,00
122,123,185177050.00,185189900.00,12850.00,12.850000,0.012850000,00,00
123,124,185189900.00,185202750.00,12850.00,12.850000,0.012850000,00,E2
124,125,185202750.00,234473350.00,49270600.00,49270.600000,49.270600000,E2,FF
125,126,234473350.00,234484400.00,11050.00,11.050000,0.011050000,FF,FF
126,127,234484400.00,234495400.00,11000.00,11.000000,0.011000000,FF,01
127,128,234495400.00,234506450.00,11050.00,11.050000,0.011050000,01,04
128,129,234506450.00,234517450.00,11000.00,11.000000,0.011000000,04,02
129,130,234517450.00,234528450.00,11000.00,11.000000,0.011000000,02,38
130,131,234528450.00,234565550.00,37100.00,37.100000,0.037100000,38,11
131,132,234565550.00,234632650.00,67100.00,67.100000,0.067100000,11,AF
132,133,234632650.00,234691100.00,58450.00,58.450000,0.058450000,AF,FF
133,134,234691100.00,234703950.00,12850.00,12.850000,0.012850000,FF,FF
134,135,234703950.00,234716850.00,12900.00,12.900000,0.012900000,FF,01
135,136,234716850.00,234729700.00,12850.00,12.850000,0.012850000,01,13
136,137,234729700.00,234742550.00,12850.00,12.850000,0.012850000,13,00
137,138,234742550.00,234755400.00,12850.00,12.850000,0.012850000,00,1C
138,139,234755400.00,234768250.00,12850.00,12.850000,0.012850000,1C,0B
139,140,234768250.00,234781100.00,12850.00,12.850000,0.012850000,0B,00
140,141,234781100.00,234794000.00,12900.00,12.900000,0.012900000,00,00
141,142,234794000.00,234806850.00,12850.00,12.850000,0.012850000,00,87
142,143,234806850.00,234819700.00,12850.00,12.850000,0.012850000,87,04
143,144,234819700.00,234832550.00,12850.00,12.850000,0.012850000,04,2C
144,145,234832550.00,234845400.00,12850.00,12.850000,0.012850000,2C,00
145,146,234845400.00,234858250.00,12850.00,12.850000,0.012850000,00,00
146,147,234858250.00,234871150.00,12900.00,12.900000,0.012900000,00,00
147,148,234871150.00,234884000.00,12850.00,12.850000,0.012850000,00,00
148,149,234884000.00,234896850.00,12850.00,12.850000,0.012850000,00,22
149,150,234896850.00,234909700.00,12850.00,12.850000,0.012850000,22,0B
150,151,234909700.00,234922550.00,12850.00,12.850000,0.012850000,0B,00
151,152,234922550.00,234935400.00,12850.00,12.850000,0.012850000,00,00
152,153,234935400.00,234948300.00,12900.00,12.900000,0.012900000,00,00
153,154,234948300.00,234961150.00,12850.00,12.850000,0.012850000,00,00
154,155,234961150.00,234974000.00,12850.00,12.850000,0.012850000,00,E0
155,156,234974000.00,285334450.00,50360450.00,50360.450000,50.360450000,E0,FF
156,157,285334450.00,285345500.00,11050.00,11.050000,0.011050000,FF,FF
157,158,285345500.00,285356500.00,11000.00,11.000000,0.011000000,FF,01
158,159,285356500.00,285367550.00,11050.00,11.050000,0.011050000,01,04
159,160,285367550.00,285378550.00,11000.00,11.000000,0.011000000,04,02
160,161,285378550.00,285389600.00,11050.00,11.050000,0.011050000,02,38
161,162,285389600.00,285408600.00,19000.00,19.000000,0.019000000,38,11
162,163,285408600.00,285472700.00,64100.00,64.100000,0.064100000,11,AF
163,164,285472700.00,285529450.00,56750.00,56.750000,0.056750000,AF,FF
164,165,285529450.00,285542300.00,12850.00,12.850000,0.012850000,FF,FF
165,166,285542300.00,285555150.00,12850.00,12.850000,0.012850000,FF,01
166,167,285555150.00,285568000.00,12850.00,12.850000,0.012850000,01,13
167,168,285568000.00,285580850.00,12850.00,12.850000,0.012850000,13,00
168,169,285580850.00,285593750.00,12900.00,12.900000,0.012900000,00,1C
169,170,285593750.00,285606600.00,12850.00,12.850000,0.012850000,1C,0B
170,171,285606600.00,285619450.00,12850.00,12.850000,0.012850000,0B,00
171,172,285619450.00,285632300.00,12850.00,12.850000,0.012850000,00,00
172,173,285632300.00,285645150.00,12850.00,12.850000,0.012850000,00,88
173,174,285645150.00,285659000.00,13850.00,13.850000,0.013850000,88,04
174,175,285659000.00,285671850.00,12850.00,12.850000,0.012850000,04,2C
175,176,285671850.00,285684700.00,12850.00,12.850000,0.012850000,2C,00
176,177,285684700.00,285697600.00,12900.00,12.900000,0.012900000,00,00
177,178,285697600.00,285710450.00,12850.00,12.850000,0.012850000,00,00
178,179,285710450.00,285723300.00,12850.00,12.850000,0.012850000,00,00
179,180,285723300.00,285736150.00,12850.00,12.850000,0.012850000,00,22
180,181,285736150.00,285749000.00,12850.00,12.850000,0.012850000,22,0B
